from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
2861893,2861894,,,338801992,313311803,0,
2861893,2861894,,,313315921,328325756,0,
2861893,2861894,,,341107526,338805496,0,
2861893,2861894,,,325548110,313315336,0,
2861893,2861894,,,313315463,313313944,0,
2861893,2861894,,,313310294,328336822,0,
2861893,2861894,,,313318578,328336822,0,
2861893,2861894,,,341106496,341108543,0,
2861893,2861894,,,313318661,313312460,0,
2861893,2861894,,,341106538,313313944,0,
2861893,2861894,,,343874459,313318338,0,
2861893,2861894,,,341105419,328331325,0,
2861893,2861894,,,325546287,341108541,0,
2861893,2861894,,,313319562,313310684,0,
2861893,2861894,,,341107243,340736327,0,
2861893,2861894,,,313315661,313314406,0,
2861893,2861894,,,316799979,340736327,0,
2861893,2861894,,,313311322,313314071,0,
2861893,2861894,,,342675767,328332903,0,
2861893,2861894,,,316767596,313315899,0,
2861893,2861894,,,313314411,328330739,0,
2861893,2861894,,,313311068,313314406,0,
2861893,2861894,,,343862123,313314071,0,
2861893,2861894,,,331294978,328335122,0,
2861893,2861894,,,313312633,325551534,0,
2861893,2861894,,,313314584,328335122,0,
2861893,2861894,,,341107314,328335122,0,
2861893,2861894,,,342676307,328335122,0,
2861893,2861894,,,313310674,341106732,0,
2861893,2861894,,,322912117,313311011,0,
2861893,2861894,,,313312633,341106732,0,
2861893,2861894,,,338801212,340721514,0,
2861893,2861894,,,313315999,328325756,0,
2861893,2861894,,,331294213,340738519,0,
2861893,2861894,,,313314866,313316625,0,
2861893,2861894,,,313317933,342672374,0,
2861893,2861894,,,341108510,328335122,0,
2861893,2861894,,,341107133,328335122,0,
2861893,2861894,,,342676014,328335122,0,
2861893,2861894,,,331283972,313316036,0,
2861893,2861894,,,316797674,313314932,0,
2861893,2861894,,,338803908,328335122,0,
2861893,2861894,,,313316950,313311011,0,
2861893,2861894,,,340737038,313311011,0,
2861893,2861894,,,313314599,338803808,0,
2861893,2861894,,,313313029,328329397,0,
2861893,2861894,,,342675811,328335326,0,
2861893,2861894,,,313313335,328333135,0,
2861893,2861894,,,313310857,341108194,0,
2861893,2861894,,,342671846,313315277,0,
2861893,2861894,,,313320047,313315277,0,
2861893,2861894,,,343873975,313312746,0,
2861893,2861894,,,343873530,328333135,0,
2861893,2861894,,,341108267,328333135,0,
2861893,2861894,,,342676728,328333135,0,
2861893,2861894,,,313318845,341106880,0,
2861893,2861894,,,313312633,338805496,0,
2861893,2861894,,,313310674,338805496,0,
2861893,2861894,,,313310857,328330721,0,
2861893,2861894,,,341106025,342672341,0,
2861893,2861894,,,313311024,342675977,0,
2861893,2861894,,,338800586,340737926,0,
2861893,2861894,,,313315999,313315873,0,
2861893,2861894,,,341108518,313320329,0,
2861893,2861894,,,331294295,341103745,0,
2861893,2861894,,,331295171,328331220,0,
2861893,2861894,,,341107228,313314071,0,
2861893,2861894,,,341106469,328335326,0,
2861893,2861894,,,331294163,338803920,0,
2861893,2861894,,,316800260,341103465,0,
2861893,2861894,,,331294717,313316036,0,
2861893,2861894,,,341108391,325550498,0,
2861893,2861894,,,313314346,328332680,0,
2861893,2861894,,,317584565,313320022,0,
2861893,2861894,,,331294124,313320022,0,
2861893,2861894,,,341107399,313318084,0,
2861893,2861894,,,313320263,313311737,0,
2861893,2861894,,,316798606,313314071,0,
2861893,2861894,,,343872850,338805496,0,
2861893,2861894,,,313320298,313312746,0,
2861893,2861894,,,313317635,338805496,0,
2861893,2861894,,,317589281,328327043,0,
2861893,2861894,,,313313029,313313145,0,
2861893,2861894,,,313316814,328327043,0,
2861893,2861894,,,313313672,338805496,0,
2861893,2861894,,,313320166,342676748,0,
2861893,2861894,,,313313483,313320329,0,
2861893,2861894,,,341105950,340738741,0,
2861893,2861894,,,341107531,313311841,0,
2861893,2861894,,,325546287,328325697,0,
2861893,2861894,,,341106403,313318084,0,
2861893,2861894,,,313318578,313318338,0,
2861893,2861894,,,316758976,342674537,0,
2861893,2861894,,,342675964,340721156,0,
2861893,2861894,,,313318605,328325994,0,
2861893,2861894,,,316796908,341106933,0,
2861893,2861894,,,313315661,313318485,0,
2861893,2861894,,,342674583,342674598,0,
2861893,2861894,,,328325943,328328677,0,
2861893,2861894,,,313313335,340738741,0,
2861893,2861894,,,313316792,328326548,0,
2861893,2861894,,,313317121,328327287,0,
2861893,2861894,,,338801212,341108543,0,
2861893,2861894,,,341106445,313313611,0,
2861893,2861894,,,342675682,313313611,0,
2861893,2861894,,,338804113,313312460,0,
2861893,2861894,,,343872890,340721514,0,
2861893,2861894,,,313314386,342674537,0,
2861893,2861894,,,331293744,341107344,0,
2861893,2861894,,,341108658,313311803,0,
2861893,2861894,,,313317311,342675137,0,
2861893,2861894,,,313315225,340738712,0,
2861893,2861894,,,313314386,343870372,0,
2861893,2861894,,,313310294,313318338,0,
2861893,2861894,,,316799979,313318338,0,
2861893,2861894,,,313314866,340738031,0,
2861893,2861894,,,342675348,342675146,0,
2861893,2861894,,,313320047,328331220,0,
2861893,2861894,,,328329680,342675038,0,
2861893,2861894,,,313317635,328332877,0,
2861893,2861894,,,316797592,328333135,0,
2861893,2861894,,,313316573,341108012,0,
2861893,2861894,,,341105589,341106804,0,
2861893,2861894,,,341108573,328329397,0,
2861893,2861894,,,313320166,338805496,0,
2861893,2861894,,,341108249,313315336,0,
2861893,2861894,,,325544478,313311011,0,
2861893,2861894,,,338801212,319729452,0,
2861893,2861894,,,313319112,313311737,0,
2861893,2861894,,,313311939,313311841,0,
2861893,2861894,,,313315921,313315873,0,
2861893,2861894,,,313312880,328329397,0,
2861893,2861894,,,313315498,313311841,0,
2861893,2861894,,,342675919,313315773,0,
2861893,2861894,,,331295280,313315773,0,
2861893,2861894,,,313314411,342674537,0,
2861893,2861894,,,316800260,328330624,0,
2861893,2861894,,,313314599,328327333,0,
2861893,2861894,,,313315225,313316036,0,
2861893,2861894,,,317584565,313318485,0,
2861893,2861894,,,341106100,328332877,0,
2861893,2861894,,,313314386,338806994,0,
2861893,2861894,,,313310294,340737926,0,
2861893,2861894,,,313318578,340737926,0,
2861893,2861894,,,313312655,338806994,0,
2861893,2861894,,,313320298,313314932,0,
2861893,2861894,,,341106291,313315773,0,
2861893,2861894,,,325544068,343872898,0,
2861893,2861894,,,343870859,338805496,0,
2861893,2861894,,,341105574,328326872,0,
2861893,2861894,,,341107325,328326112,0,
2861893,2861894,,,341107573,313315873,0,
2861893,2861894,,,325544068,343873710,0,
2861893,2861894,,,313313129,313318084,0,
2861893,2861894,,,317625044,328327043,0,
2861893,2861894,,,341108189,328327287,0,
2861893,2861894,,,338804113,328326872,0,
2861893,2861894,,,341108314,341106218,0,
2861893,2861894,,,341108632,341106750,0,
2861893,2861894,,,313319112,313316667,0,
2861893,2861894,,,343872368,313313944,0,
2861893,2861894,,,313318714,313317864,0,
2861893,2861894,,,341108382,341108537,0,
2861893,2861894,,,325544478,342673120,0,
2861893,2861894,,,331294479,328327287,0,
2861893,2861894,,,313312840,317625467,0,
